Global Fortune 500 Ranking,Company Name,CEO First Name,CEO Last Name,CEO Business Title,CEO Education Summary,Company Org Chart URL (See all the CEO's direct reports),CEO Biography,Company Industry,Company Country,Company Stock Ticker,Company Customer ID,Executive Customer ID,Degree 1,College 1,Degree 2,College 2
168,Zurich Insurance Group,Mario,Greco,"Chairman of the Management Board, Chief Executive Officer",Mario Greco has a Bachelor in Economics from University of Rome and a Master in International Economics and Monetary Theory from Rochester University.,https://www.theofficialboard.com/org-chart/zurich-insurance-group,https://www.theofficialboard.com/biography/mario-greco-dg876,Insurance,Switzerland,CH - ZURN,zpq2j,m9x2jw,Master in International Economics and Monetary Theory,,Bachelor in Economics,University of Rome
169,Manulife,Roy,Gori,"President, Chief Executive Officer and Director","Roy Gori has a Economics and Finance degree from University of New South Wales and a Master of Business Administration in Marketing from University of Technology, Sydney.",https://www.theofficialboard.com/org-chart/manulife,https://www.theofficialboard.com/biography/roy-gori-e3153,Insurance,Canada,CA - MFC,7rx87,0977no,Master of Business Administration in Marketing,"University of Technology, Sydney",Economics and Finance degree,University of New South Wales
170,Wuchan Zhongda Group,Hongjiong,Song,Chief Executive Officerc and Director,,https://www.theofficialboard.com/org-chart/wuchan-zhongda-group,,Real Estate,China,CN - 600704,o42ez,2lznjx,,,,
171,Xiamen ITG Group,Yunxuan,Wu,President and Director,,https://www.theofficialboard.com/org-chart/xiamen-itg-group,,Wholesale,China,CN - 600755,4792q,wq4d20,,,,
172,Aegon,Lard,Friese,"Chairman of the Management Board, Chief Executive Officer","In 1986, Lard Friese completed a Master of Laws at Utrecht University.",https://www.theofficialboard.com/org-chart/aegon,https://www.theofficialboard.com/biography/lard-friese-32e32,Insurance,Netherlands,NL - AEG,6rx2,11z6zm,Master of Laws,Utrecht University,,
173,Boeing,David,Calhoun,Chief Executive Officer and President,"In 1979, David Calhoun completed a Bachelor in Accounting and Business at Pamplin College of Business.",https://www.theofficialboard.com/org-chart/boeing,https://www.theofficialboard.com/biography/david-calhoun-2g5eg,Aerospace,United States (USA),US - BA,4vdo,8l9nwm,Bachelor in Accounting and Business,,,
174,China Poly Group,Zhengao,Zhang,President and Director,,https://www.theofficialboard.com/org-chart/china-poly-group,,Real Estate,China,CN - 600048,rp4l9,v1808p,,,,
175,Unilever,Alan,Jope,Chief Executive Officer and Executive Director,"Alan Jope has a Bachelor of Commerce with honors from Edinburgh University in 1985 and a General Management Program, Executive Education Programme from Harvard Business School in 2001.",https://www.theofficialboard.com/org-chart/unilever-1,https://www.theofficialboard.com/biography/alan-jope-d5265,Household Products,United Kingdom (UK),GB - ULVR,27707,9ly0de,"General Management Program, Executive Education Programme",Harvard Business School,Bachelor of Commerce with honors,Edinburgh University
176,GAC Motor,Xinya,Feng,General Manager and Executive Director,Xinya Feng has a Bachelor from Xi'an Jiaotong University and a Master from Xi'an Jiaotong University.,https://www.theofficialboard.com/org-chart/gac-motor,https://www.theofficialboard.com/biography/xinya-feng-986g0,Automotive,China,CN - 601238,d69m4,mq5ldn,Master,Xi'an Jiaotong University,Bachelor,Xi'an Jiaotong University
177,China National Building Materials Group,Xinhua,Li,General Manager and Vice Chairman of the Board,Vice President,https://www.theofficialboard.com/org-chart/china-national-building-materials-group,,Materials,China,CN - 3323,10p74,lyjeer,,,,
178,Prudential Financial,Charles,Lowrey,Chairman of the Board and Chief Executive Officer,Charles Lowrey has a Master of Architecture from Yale University in 1982 and a Master of Business Administration from Harvard Business School in 1988.,https://www.theofficialboard.com/org-chart/prudential-financial,https://www.theofficialboard.com/biography/charles-lowrey-687g8,Insurance,United States (USA),US - PRU,r5mqq,1y0pje,Master of Business Administration,Harvard Business School,Master of Architecture,Yale University
179,Airbus,Guillaume,Faury,Chief Executive Officer,Guillaume Faury has an Engineering Degree from Ecole Polytechnique of Paris and a Aeronautics and Engineering degree from National Higher School of Aeronautics and Space.,https://www.theofficialboard.com/org-chart/airbus-2,https://www.theofficialboard.com/biography/guillaume-faury-18d53,Aerospace,France,FR - AIR,6129,d4m2m8,Aeronautics and Engineering degree,,Engineering Degree,Ecole Polytechnique of Paris
181,Petrobras,Joaquim,Silva E Luna,Chief Executive Officer,Chief Executive Officer,https://www.theofficialboard.com/org-chart/petrobras,,Oil & Gas,Brazil,BR - PETR3,zdx6v,zy5pwq,,,,
182,HP Inc.,Enrique,Lores,"President, Chief Executive Officer and Director",Enrique Lores has a Degree in Electrical Engineering from Polytechnic University of Valencia and a Master of Business Administration from ESADE Business School.,https://www.theofficialboard.com/org-chart/hp-inc-,https://www.theofficialboard.com/biography/enrique-lores-g9469,Computer Hardware,United States (USA),US - HPQ,lx016,1vwjm,Master of Business Administration,ESADE Business School,Degree in Electrical Engineering,Polytechnic University of Valencia
183,Raytheon Technologies,Gregory,Hayes,"Chief Executive Officer, Chairman of the Board and Director","In 1982, Gregory Hayes completed a Certified Public Accountant Degree at Purdue University.",https://www.theofficialboard.com/org-chart/raytheon-technologies,https://www.theofficialboard.com/biography/gregory-hayes-7ged8,Defense & Space,United States (USA),US - RTX,mq5xl,dnzwo,Certified Public Accountant Degree,Purdue University,,
184,SoftBank Group Corp,Masayoshi,Son,"President, Chairman & President & Chief Executive Officer of Subsidiaries, Representative Director","In 1980, Masayoshi Son completed a Bachelor of Arts in Economics at University of California, Berkeley.",https://www.theofficialboard.com/org-chart/softbank-group-corp,https://www.theofficialboard.com/biography/masayoshi-son-94e08,Telecommunications,Japan,JP - 9984,rr9p,w056m,Bachelor of Arts in Economics,"University of California, Berkeley",,
185,Prudential,Mike,Wells,Chief Executive Officer and Director (retiring on Mar 31 2022),Mike Wells has a Bachelor of Science from San Diego State University - California State University.,https://www.theofficialboard.com/org-chart/prudential,https://www.theofficialboard.com/biography/mike-wells-8e68e,Insurance,United Kingdom (UK),GB - PRU,5824v,r5o48m,Bachelor of Science,San Diego State University - California State University,,
186,Fortum,Markus,Rauramo,President and Chief Executive Officer,"In 1997, Markus Rauramo completed a Master of Science in Economics at University of Helsinki.",https://www.theofficialboard.com/org-chart/fortum,https://www.theofficialboard.com/biography/markus-rauramo-d9269,Energy,Finland,FI - FOJCY,do6o,1m1j4e,Master of Science in Economics,University of Helsinki,,
187,Tepco,Tomoaki,Kobayakawa,President and Representative Director,Tomoaki Kobayakawa graduated from Tokyo Institute of Technology.,https://www.theofficialboard.com/org-chart/tepco,https://www.theofficialboard.com/biography/tomoaki-kobayakawa-21ge1,Energy,Japan,JP - 9501,5dp0,2rnyep,,,,
188,Seven & I,Ryuich,Isaka,President,Ryuich Isaka graduated from Aoyama Gakuin University.,https://www.theofficialboard.com/org-chart/seven-i,https://www.theofficialboard.com/biography/ryuich-isaka-1e1d2,Retail,Japan,JP - 3382,1m9m,r50r51,,Aoyama Gakuin University,,
189,Xiamen Xiangyu,Qidong,Deng,General Manager and Director,,https://www.theofficialboard.com/org-chart/xiamen-xiangyu,,Logistics,China,CN - 600057,elm6m,mplrwj,,,,
190,StoneX,Sean,O'Connor,"Chief Executive Officer, President and Director",Chief Executive Officer,https://www.theofficialboard.com/org-chart/stonex,,Financial Services,United States (USA),US - SNEX,95y4,r5509p,,,,
191,Alimentation Couche-Tard,Brian,Hannasch,President and Chief Executive Officer,Brian Hannasch has a Bachelor of Arts from Iowa State University in 1988 and a Master of Business Administration in Marketing and Finance from University of Chicago in 1994.,https://www.theofficialboard.com/org-chart/alimentation-couche-tard-3,https://www.theofficialboard.com/biography/brian-hannasch-64e25,Retail,Canada,CA - ATDB,lwo8,e02j2,Master of Business Administration in Marketing and Finance,University of Chicago,Bachelor of Arts,Iowa State University
193,Goldman Sachs,David,Solomon,Chairman of the Board and Chief Executive Officer,David Solomon has a Bachelor of Arts in Political Science from Hamilton College.,https://www.theofficialboard.com/org-chart/goldman-sachs,https://www.theofficialboard.com/biography/david-solomon-1g673,Banking,United States (USA),US - GS,y8705,0oq74o,Bachelor of Arts in Political Science,Hamilton College,,
194,China Everbright,Mingao,Zhang,Executive Director and President,"Mingao Zhang has a Bachelor of Economics Degree in Rural Financial Professional from College of Economics and Trade, Nanjing Agricultural University.",https://www.theofficialboard.com/org-chart/china-everbright,https://www.theofficialboard.com/biography/mingao-zhang-690d9,Financial Services,Hong Kong,HK - CEVIY,zjjd,dvx5dm,Bachelor of Economics Degree in Rural Financial Professional,,,
195,Rosneft,Igor,Sechin,"Chairman of the Management Board, Deputy Chairman of the Board, President","In 1984, Igor Sechin completed a Doctorate of Philosophy in Economics at Leningrad State University.",https://www.theofficialboard.com/org-chart/rosneft,https://www.theofficialboard.com/biography/igor-sechin-247d3,Oil & Gas,Russian Federation,RU - ROSN,mq50w,n9v67,Doctorate of Philosophy in Economics,,,
196,Industrial Bank,Yiping,Tao,President,Yiping Tao has a Bachelor of Arts in Statistics from Xiamen University and a Master of Business Administration  in Business Administration and Accounting from Xiamen University.,https://www.theofficialboard.com/org-chart/industrial-bank,https://www.theofficialboard.com/biography/yiping-tao-1265g,Banking,China,CN - 601166,l849r,8mzomm,,Xiamen University,Bachelor of Arts in Statistics,Xiamen University
197,ArcelorMittal,Aditya,Mittal,Chief Executive Officer and Director,Aditya Mittal has a Bachelor in Economics from University of Pennsylvania - The Wharton School.,https://www.theofficialboard.com/org-chart/arcelormittal,https://www.theofficialboard.com/biography/aditya-mittal-36d71,Metal,Luxembourg,LU - MT,wzmz,rzwd1,Bachelor in Economics,University of Pennsylvania - The Wharton School,,
198,Aluminum Corporation of China,Zhu,Runzhou,"President, Executive Director",Zhu Runzhou has a Master from Wuhan University.,https://www.theofficialboard.com/org-chart/aluminum-corporation-of-china,https://www.theofficialboard.com/biography/zhu-runzhou-e6142,Metal,China,CN - 601600,6e92,nnr9yv,Master,Wuhan University,,
199,Sysco,Kevin,Hourican,President and Chief Executive Officer,Kevin Hourican has a Bachelor of Science in Economics from Penn State University in 1995 and a Master in Supply Chain from Penn State University in 1996.,https://www.theofficialboard.com/org-chart/sysco,https://www.theofficialboard.com/biography/kevin-hourican-89eg9,Retail,United States (USA),US - SYY,1ynd8,jp92x1,Master in Supply Chain,Penn State University,Bachelor of Science in Economics,Penn State University
200,HBIS Group,Yong,Yu,President,Yong Yu has a Master in Engineering from University of Science and Technology Beijing in 2000 and a PhD in Engineering from University of Science and Technology Beijing in 2003.,https://www.theofficialboard.com/org-chart/hbis-group,https://www.theofficialboard.com/biography/yong-yu-18de9,Metal,China,CN - 000709,zy7w5,owmxj8,PhD in Engineering,,Master in Engineering,
201,Shanghai Pudong Development Bank,Weidong,Pan,"Vice Chairman of the Board, President and Executive Director",,https://www.theofficialboard.com/org-chart/shanghai-pudong-development-bank,,Banking,China,CN - 600000,qpjyj,w4xnqe,,,,
203,Societe Generale,Frederic,Oudea,Chief Executive Officer,Frederic Oudea graduated from Ecole Nationale d'Administration and from Ecole Polytechnique of Paris.,https://www.theofficialboard.com/org-chart/societe-generale,https://www.theofficialboard.com/biography/frederic-oudea-d0e41,Banking,France,FR - GLE,e06m,86vxr,,Ecole Polytechnique of Paris,,Ecole Nationale d'Administration
204,Morgan Stanley,James,Gorman,Chairman of the Board and Chief Executive Officer,James Gorman has a Bachelor of Arts and Law Degree from University of Melbourne and a Master of Business Administration from Columbia University.,https://www.theofficialboard.com/org-chart/morgan-stanley,https://www.theofficialboard.com/biography/james-gorman-29d69,Banking,United States (USA),US - MS,71px,d61jm,Master of Business Administration,Columbia University,Bachelor of Arts and Law Degree,University of Melbourne
205,State Bank of India,Dinesh,Khara,Executive Chairman of the Board,Dinesh Khara has a Master in Business Administration and and a Post-graduate in Commerce from Faculty of Management Studies - University of Delhi.,https://www.theofficialboard.com/org-chart/state-bank-of-india,https://www.theofficialboard.com/biography/dinesh-khara-422d4,Banking,India,IN - SBKFF,xyezw,jxp90o,Master in Business Administration and and a Post-graduate in Commerce,Faculty of Management Studies - University of Delhi,,
206,PTT,Auttapol,Rerkpiboon,"Director, President and Chief Executive Officer",Auttapol Rerkpiboon has a Bachelor in Engineering from Chulalongkorn University and a Master in Economics from National Institute of Development Administration.,https://www.theofficialboard.com/org-chart/ptt,https://www.theofficialboard.com/biography/auttapol-rerkpiboon-7d9ed,Oil & Gas,Thailand,TH - PUTRF,9914v,nzmm0w,Master in Economics,,Bachelor in Engineering,Chulalongkorn University
207,HCA,Samuel,Hazen,Chief Executive Officer and Director,"Samuel Hazen has a Bachelor in Finance from University of Kentucky and a Master of Business Administration from University of Nevada, Las Vegas.",https://www.theofficialboard.com/org-chart/hca,https://www.theofficialboard.com/biography/samuel-hazen-3ge05,Healthcare,United States (USA),US - HCA,6l6d9,nwpl6w,Master of Business Administration,"University of Nevada, Las Vegas",Bachelor in Finance,University of Kentucky
208,Tokio Marine,Satoru,Komiya,President and Chief Executive Officer,"Satoru Komiya has an Undergraduate Degree from School of Engineering, the University of Tokyo.",https://www.theofficialboard.com/org-chart/tokio-marine,https://www.theofficialboard.com/biography/satoru-komiya-26d9e,Insurance,Japan,JP - 8766,4d5r,4w97wr,Undergraduate Degree,,,
209,Vodafone Group,Nick,Read,Group Chief Executive Officer and Director,Nick Read has a Bachelor of Arts in Accounting & Finance from Manchester Metropolitan University.,https://www.theofficialboard.com/org-chart/vodafone-group,https://www.theofficialboard.com/biography/nick-read-1g71g,Telecommunications,United Kingdom (UK),GB - VOD,7we45,epx515,Bachelor of Arts in Accounting & Finance,Manchester Metropolitan University,,
210,Groupe Christian Dior,Sidney,Toledano,Vice-Chairman and Chief Executive Officer,Sidney Toledano has an Engineering Degree from CentraleSupélec.,https://www.theofficialboard.com/org-chart/groupe-christian-dior,https://www.theofficialboard.com/biography/sidney-toledano-7e5ge,Luxury Goods,France,FR - CDI,1zeq,56oy0w,Engineering Degree,CentraleSupélec,,
211,Wilmar International,Khoon Hong,Kuok,Chairman of the Board & Chief Executive Officer,"In 1973, Khoon Hong Kuok completed a Bachelor of Commerce at McGill University.",https://www.theofficialboard.com/org-chart/wilmar-international,https://www.theofficialboard.com/biography/khoon-hong-kuok-9256d,Food,Singapore,SG - F34,nwo2q,ewl14,Bachelor of Commerce,McGill University,,
212,Indian Oil,Shrikant,Vaidya,Chairman of the Board,Shrikant Vaidya graduated from NIT Rourkela.,https://www.theofficialboard.com/org-chart/indian-oil,https://www.theofficialboard.com/biography/shrikant-vaidya-30g70,Oil & Gas,India,IN - IOCL,9ljzd,m647nj,,,,
213,AIA Group,Yuan Siong,Lee,"Group Chief Executive Officer, President and Director",Yuan Siong Lee has a Master of Finance from University of Cambridge.,https://www.theofficialboard.com/org-chart/aia-group,https://www.theofficialboard.com/biography/yuan-siong-lee-g8958,Insurance,Hong Kong,HK - 1299,d48o9,9y7ywr,Master of Finance,University of Cambridge,,
214,Vinci,Xavier,Huillard,Chief Executive Officer and Chairman of the Board,Xavier Huillard graduated from Ecole Polytechnique of Paris and from École Nationale des Ponts et Chaussées.,https://www.theofficialboard.com/org-chart/vinci,https://www.theofficialboard.com/biography/xavier-huillard-d4d04,Construction,France,FR - DG,xdd4j,j988l,,École Nationale des Ponts et Chaussées,,Ecole Polytechnique of Paris
216,ENI,Claudio,Descalzi,Chief Executive Officer and Director,"In 1979, Claudio Descalzi completed a Degree in Physics at University of Milan Polytechinic University.",https://www.theofficialboard.com/org-chart/eni,https://www.theofficialboard.com/biography/claudio-descalzi-593g9,Oil & Gas,Italy,IT - ENI,lnqy,6xv0r,Degree in Physics,University of Milan Polytechinic University,,
217,KDDI,Makoto,Takahashi,"President, Representative Director",Makoto Takahashi has a Bachelor in Engineering from Yokohama National University.,https://www.theofficialboard.com/org-chart/kddi-3,https://www.theofficialboard.com/biography/makoto-takahashi-83ge3,Telecommunications,Japan,JP - 9433,x2ln,y94z5,Bachelor in Engineering,Yokohama National University,,
218,Novartis,Vasant,Narasimhan,Executive Chairman and President,Vasant Narasimhan has a Medical Degree from Harvard Medical School in 2002 and a Master of Public Policy from Harvard University - Kennedy School of Government in 2003.,https://www.theofficialboard.com/org-chart/novartis,https://www.theofficialboard.com/biography/vasant-narasimhan-2g93g,Pharmaceuticals,Switzerland,CH - NOVN,y8ydy,r0qq9p,Master of Public Policy,Harvard University - Kennedy School of Government,Medical Degree,Harvard Medical School
219,Renault,Luca,de Meo,Chief Executive Officer,Luca de Meo has a business administration from Bocconi University.,https://www.theofficialboard.com/org-chart/renault,https://www.theofficialboard.com/biography/luca-de-meo-d3e42,Automotive,France,FR - RNO,mq5jw,y6d8xy,business administration,Bocconi University,,
220,Shaanxi Coal Industry,Shibin,Wang,President and Director,Principal of Production Technology,https://www.theofficialboard.com/org-chart/shaanxi-coal-industry,,Chemicals,China,CN - 601225,m6n6q,1w207m,,,,
221,Cisco,Chuck,Robbins,Chief Executive Officer and Chairman of the Board,Chuck Robbins has a bachelor's degree in mathematics with a computer science concentration from University of North Carolina..,https://www.theofficialboard.com/org-chart/cisco,https://www.theofficialboard.com/biography/chuck-robbins-g6136,Computer Hardware,United States (USA),US - CSCO,zlwq,581o1w,,,,
222,Kepco,Seung-Il,Jung,"President, Chief Executive Officer and Director",Seung-Il Jung has a Master from Seoul National University.,https://www.theofficialboard.com/org-chart/kepco,https://www.theofficialboard.com/biography/seung-il-jung-26ed1,Utilities,"Korea, Republic of",KR - KEP,o518,m7nwol,Master,Seoul National University,,
223,Telefonica,Jose Maria,Alvarez-Pallete Lopez,Chairman and Chief Executive Officer,Jose Maria Alvarez-Pallete Lopez has a Degree in Economics from Complutense University of Madrid and a Advance Research Degree from Complutense University of Madrid.,https://www.theofficialboard.com/org-chart/telefonica,https://www.theofficialboard.com/biography/jose-maria-alvarez-pallete-lopez-050e7,Telecommunications,Spain,ES - TEF,7vpx,7e1ev,,Complutense University of Madrid,Degree in Economics,Complutense University of Madrid
224,China Minsheng Banking Corp,Wanchun,Zheng,President and Executive Director,Wanchun Zheng has a PhD from Renmin University of China.,https://www.theofficialboard.com/org-chart/china-minsheng-banking-corp,https://www.theofficialboard.com/biography/wanchun-zheng-d1531,Banking,China,CN - 600016,0omwr,96j9ne,PhD,Renmin University of China,,
225,Jiangxi Copper,Gaoqing,Zheng,"Chairman of the Board, President and Executive Director",,https://www.theofficialboard.com/org-chart/jiangxi-copper,,Mining,China,CN - 600362,09z8,y65607,,,,
226,Posco,Jung-Woo,Choi,Representative Director and Chief Executive Officer,"Jung-Woo Choi has a Bachelor of Arts in Economics from Busan National University, South Korea.",https://www.theofficialboard.com/org-chart/posco,https://www.theofficialboard.com/biography/jung-woo-choi-26d39,Metal,"Korea, Republic of",KR - PKX,99e,lxoezr,Bachelor of Arts in Economics,,,
227,Bayer,Werner,Baumann,Chief Executive Officer,Werner Baumann has a Degree in Economics from RWTH Aachen University.,https://www.theofficialboard.com/org-chart/bayer,https://www.theofficialboard.com/biography/werner-baumann-0ed57,Pharmaceuticals,Germany,DE - BAYN,llv8,011vn8,Degree in Economics,RWTH Aachen University,,
228,Power Corp of Canada,Jeffrey,Orr,"President, Chief Executive Officer and Director",Jeffrey Orr has a Bachelor of Arts from University of Western Ontario - Richard Ivey School of Business.,https://www.theofficialboard.com/org-chart/power-corp-of-canada,https://www.theofficialboard.com/biography/jeffrey-orr-d5de7,Insurance,Canada,CA - POW,01x1r,j591o,Bachelor of Arts,University of Western Ontario - Richard Ivey School of Business,,
229,Orange,Stéphane,Richard,Chairman and Chief Executive Officer ( Non-Executive Chairman of the Board Apr 4 2022 ),Stéphane Richard graduated from HEC Paris.,https://www.theofficialboard.com/org-chart/orange-2,https://www.theofficialboard.com/biography/stephane-richard-720d2,Telecommunications,France,FR - ORAN,wrne,nmv6zw,,HEC Paris,,
232,Merck,Robert,Davis,Chief Executive Officer and Director,Robert Davis has a Juris Doctor in Tax and Corporate Law from Northwestern University - School of Law.,https://www.theofficialboard.com/org-chart/merck-,https://www.theofficialboard.com/biography/robert-davis-2e871,Pharmaceuticals,United States (USA),US - MRK,v1nre,pepj1q,Juris Doctor in Tax and Corporate Law,Northwestern University - School of Law,,
233,ELO Group,Yves,Claude,Chief Executive Officer,Yves Claude graduated from ESIAE Business School Paris.,https://www.theofficialboard.com/org-chart/elo-group,https://www.theofficialboard.com/biography/yves-claude-4g51g,Retail,France,,5mwnv,jmw5e1,,,,
234,Shaanxi Yanchang Petroleum,Jiyao,Zhang,General Manager and Deputy Secretary,,https://www.theofficialboard.com/org-chart/shaanxi-yanchang-petroleum,,Oil & Gas,China,,9ze74,10qrl8,,,,
235,Pegatron,Syh-Jang,Liao,"Chief Executive Officer, General Manager and Director",Syh-Jang Liao has a Bachelor from Tatung University.,https://www.theofficialboard.com/org-chart/pegatron,https://www.theofficialboard.com/biography/syh-jang-liao-29d16,Electrical & Electronic Components,Taiwan,CN - 4938,ll7yr,rrdxz9,Bachelor,,,
236,AB InBev,Michel,Doukeris,Chief Executive Officer,Michel Doukeris has a Marketing and Marketing Strategy Program from Northwestern University - Kellogg School of Management in 2005 and a Marketing and Marketing Strategy Program from University of Pennsylvania - The Wharton School in 2007.,https://www.theofficialboard.com/org-chart/ab-inbev,https://www.theofficialboard.com/biography/michel-doukeris-86d06,Beverages,Belgium,BE - ABI,5m06v,2ll88p,Marketing and Marketing Strategy Program,University of Pennsylvania - The Wharton School,Marketing and Marketing Strategy Program,Northwestern University - Kellogg School of Management
237,America Movil,Daniel,Hajj Aboumrad,Chief Executive Officer & Director,Daniel Hajj Aboumrad has a Degree in Accounting from Universidad Iberoamericana.,https://www.theofficialboard.com/org-chart/america-movil,https://www.theofficialboard.com/biography/daniel-hajj-aboumrad-23g93,Telecommunications,Mexico,MX - AMX,nn58,yrjlw,Degree in Accounting,Universidad Iberoamericana,,
238,Best Buy,Corie,Barry,Chief Executive Officer and Director,"In 1997, Corie Barry completed a Bachelor in Accounting and Business Management at College of St. Benedict.",https://www.theofficialboard.com/org-chart/best-buy,https://www.theofficialboard.com/biography/corie-barry-73d54,Retail,United States (USA),US - BBY,1qx4,1x2x8m,Bachelor in Accounting and Business Management,,,
239,Zhejiang Geely Holding Group,Daniel,Li,Chief Executive Officer and Director,Daniel Li has a Master in Management Engineering from Beijing Institute of Machinery in 1997 and a Master of Business Administration from Indiana University - Kelley School of Business in 2010.,https://www.theofficialboard.com/org-chart/zhejiang-geely-holding-group-3,https://www.theofficialboard.com/biography/daniel-li-e3843,Automotive,China,HK - 0175,6wzn4,10q5p4,Master of Business Administration,Indiana University - Kelley School of Business,Master in Management Engineering,
240,China State Shipbuilding Corporation,Jincheng,Yang,General Manager and Director,Jincheng Yang has a Master in Power Engineering from Chinese Academy of Sciences and a PhD from Chinese Academy of Sciences.,https://www.theofficialboard.com/org-chart/china-state-shipbuilding-corporation,https://www.theofficialboard.com/biography/jincheng-yang-0g6dg,Shipbuilding,China,CN - 600150,79297,11ln2e,PhD,,Master in Power Engineering,
241,Talanx,Torsten,Leue,Chairman of the Management Board,Torsten Leue has obtained a degree from Freie Universität Berlin in 1992.,https://www.theofficialboard.com/org-chart/talanx,https://www.theofficialboard.com/biography/torsten-leue-g4e94,Insurance,Germany,DE - TNXXF,zp5zj,99xmm4,,Freie Universität Berlin,,
242,New York Life Insurance,Theodore,Mathas,Chairman of the Board and Chief Executive Officer (becomes Chairman of the Board on Apr 15 2022),Theodore Mathas has a Bachelor of Arts with distinction from Stanford University in 1989 and a Juris Doctor from University of Virginia in 1992.,https://www.theofficialboard.com/org-chart/new-york-life-insurance,https://www.theofficialboard.com/biography/theodore-mathas-d0950,Insurance,United States (USA),US - NYLIC,0o7pz,6jjpw,Juris Doctor,University of Virginia,Bachelor of Arts with distinction,Stanford University
243,Oil & Natural Gas,Alka,Mittal,Managing Director and Chairman of the Board,"Alka Mittal has a Master of Arts in Economics from M.K.P.P.G College, Dehradun in 1983 and a Doctor of Philosophy in Business/Commerce & Corporate Governance from Jamia Millia Islamia in 2001.",https://www.theofficialboard.com/org-chart/oil-natural-gas,https://www.theofficialboard.com/biography/alka-mittal-d39e3,Oil & Gas,India,IN - ONGCF,d4jlm,qyo745,Doctor of Philosophy in Business/Commerce & Corporate Governance,,Master of Arts in Economics,
244,Denso,Koji,Arima,"President, Chief Executive Officer and Representative Director",Koji Arima has a Degree of Engineering from University of Tokyo.,https://www.theofficialboard.com/org-chart/denso,https://www.theofficialboard.com/biography/koji-arima-746g5,Automotive,Japan,JP - 6902,l8v8,jzj11,Degree of Engineering,University of Tokyo,,
245,MS&AD,Noriyuki,Hara,President and Representative Director,Noriyuki Hara has a Bachelor from University of Tokyo.,https://www.theofficialboard.com/org-chart/ms-ad,https://www.theofficialboard.com/biography/noriyuki-hara-179e7,Insurance,Japan,JP - MSADF,moyeq,znje84,Bachelor,University of Tokyo,,
246,Equinor,Anders,Opedal,President and Chief Executive Officer,Anders Opedal has an Engineering Degree from NTH and a Master of Business Administration from Heriot-Watt University.,https://www.theofficialboard.com/org-chart/equinor,https://www.theofficialboard.com/biography/anders-opedal-169d2,Oil & Gas,Norway,NO - STO,581qv,oy9z6z,Master of Business Administration,Heriot-Watt University,Engineering Degree,
247,AbbVie,Richard,Gonzalez,Chairman and Chief Executive Officer,Richard Gonzalez has a Bachelor from University of Houston and a Master from University of Miami.,https://www.theofficialboard.com/org-chart/abbvie,https://www.theofficialboard.com/biography/richard-gonzalez-d2d82,Pharmaceuticals,United States (USA),US - ABBV,w90qm,modp7n,Master,University of Miami,Bachelor,University of Houston
248,China Huaneng Group,Jianling,Deng,President and Director,,https://www.theofficialboard.com/org-chart/china-huaneng-group1,,Utilities,China,,4nqvr,dv6lx4,,,,
249,Nippon Steel & Sumitomo Metal,Eiji,Hashimoto,Representative Director and President,"In 1988, Eiji Hashimoto completed a Master of Public Policy at Harvard University - Kennedy School of Government.",https://www.theofficialboard.com/org-chart/nippon-steel-sumitomo-metal,https://www.theofficialboard.com/biography/eiji-hashimoto-2g01d,Metal,Japan,JP - 5401,zr9v,v12wve,Master of Public Policy,Harvard University - Kennedy School of Government,,
250,RBC,Dave,McKay,President and Chief Executive Officer,Dave McKay has a Bachelor of Mathematics from University of Waterloo and a Master of Business Administration from University of Western Ontario - Richard Ivey School of Business.,https://www.theofficialboard.com/org-chart/rbc,https://www.theofficialboard.com/biography/dave-mckay-39dg2,Banking,Canada,CA - RY,dq1zx,rx51m,Master of Business Administration,University of Western Ontario - Richard Ivey School of Business,Bachelor of Mathematics,University of Waterloo
251,TSMC - Taiwan Semiconductor Manufacturing,C.C.,Wei,Chief Executive Officer and Vice Chairman of the Board,C.C. Wei has a Bachelor of Science degree in Electrical Engineering from National Chiao Tung University and a PhD in Electrical Engineering from Yale University.,https://www.theofficialboard.com/org-chart/tsmc-taiwan-semiconductor-manufacturing,https://www.theofficialboard.com/biography/c-c-wei-17ed8,Semiconductors,Taiwan,TW - TSM,ppr1,ep9md0,PhD in Electrical Engineering,Yale University,Bachelor of Science degree in Electrical Engineering,National Chiao Tung University
252,Deutsche Bahn,Richard,Lutz,Chief Executive Officer,"In 1998, Richard Lutz completed a PhD at University of Kaiserslautern.",https://www.theofficialboard.com/org-chart/deutsche-bahn,https://www.theofficialboard.com/biography/richard-lutz-89e06,Highways & Railroads,Germany,DE - DEU,qqjd0,1ypw0q,PhD,University of Kaiserslautern,,
253,Publix Super Markets,Randall,Jones,Chief Executive Officer and Director,,https://www.theofficialboard.com/org-chart/publix-super-markets-3,,Retail,United States (USA),US - PUSH,eeq05,y6r41w,,,,
254,Allstate,Thomas,Wilson,"Chairman of the Board, President, Chief Executive Officer",Thomas Wilson has a Bachelor of Science in Business Administration from University of Michigan and a Master of Management from Northwestern University - Kellogg School of Management.,https://www.theofficialboard.com/org-chart/allstate,https://www.theofficialboard.com/biography/thomas-wilson-45e26,Insurance,United States (USA),US - ALL,5w40,6r812,Master of Management,Northwestern University - Kellogg School of Management,Bachelor of Science in Business Administration,University of Michigan
